"REF_DATE","GEO","DGUID","Immigrant status","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Males","15 years and over","Persons","249","thousands","3","v53040192","1.2.2.2.1","1900.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Males","15 to 24 years","Persons","249","thousands","3","v53040193","1.2.2.2.2","157.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Males","25 to 54 years","Persons","249","thousands","3","v53040194","1.2.2.2.3","1353.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Males","55 years and over","Persons","249","thousands","3","v53040195","1.2.2.2.4","389.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Females","15 years and over","Persons","249","thousands","3","v53040196","1.2.2.3.1","1623.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Females","15 to 24 years","Persons","249","thousands","3","v53040197","1.2.2.3.2","142.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Females","25 to 54 years","Persons","249","thousands","3","v53040198","1.2.2.3.3","1190.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Labour force","Females","55 years and over","Persons","249","thousands","3","v53040199","1.2.2.3.4","290.1","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Both sexes","15 years and over","Persons","249","thousands","3","v53040200","1.2.3.1.1","3277.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040201","1.2.3.1.2","256.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040202","1.2.3.1.3","2376.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Both sexes","55 years and over","Persons","249","thousands","3","v53040203","1.2.3.1.4","643.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Males","15 years and over","Persons","249","thousands","3","v53040204","1.2.3.2.1","1777.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Males","15 to 24 years","Persons","249","thousands","3","v53040205","1.2.3.2.2","135.2","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Males","25 to 54 years","Persons","249","thousands","3","v53040206","1.2.3.2.3","1273.2","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Males","55 years and over","Persons","249","thousands","3","v53040207","1.2.3.2.4","369.2","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Females","15 years and over","Persons","249","thousands","3","v53040208","1.2.3.3.1","1500.0","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Females","15 to 24 years","Persons","249","thousands","3","v53040209","1.2.3.3.2","121.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Females","25 to 54 years","Persons","249","thousands","3","v53040210","1.2.3.3.3","1103.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Employment","Females","55 years and over","Persons","249","thousands","3","v53040211","1.2.3.3.4","274.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Both sexes","15 years and over","Persons","249","thousands","3","v53040212","1.2.4.1.1","2768.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Both sexes","15 to 24 years","Persons","249","thousands","3","v53040213","1.2.4.1.2","139.3","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Both sexes","25 to 54 years","Persons","249","thousands","3","v53040214","1.2.4.1.3","2112.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Both sexes","55 years and over","Persons","249","thousands","3","v53040215","1.2.4.1.4","516.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Males","15 years and over","Persons","249","thousands","3","v53040216","1.2.4.2.1","1604.9","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Males","15 to 24 years","Persons","249","thousands","3","v53040217","1.2.4.2.2","79.6","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Males","25 to 54 years","Persons","249","thousands","3","v53040218","1.2.4.2.3","1207.8","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Males","55 years and over","Persons","249","thousands","3","v53040219","1.2.4.2.4","317.5","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Females","15 years and over","Persons","249","thousands","3","v53040220","1.2.4.3.1","1163.7","","","","1"
"2006","Canada","2016A000011124","Landed immigrants","Full-time employment","Females","15 to 24 years","Persons","249","thousands","3","v53040221","1.2.4.3.2","59.6","","","","1"
